publicid,eventtype,origintime,modificationtime,longitude, latitude, magnitude, depth,magnitudetype, depthtype,evaluationmethod, evaluationstatus, evaluationmode, earthmodel, usedphasecount,usedstationcount,magnitudestationcount, minimumdistance,azimuthalgap,originerror,magnitudeuncertainty
3268039,earthquake,2010-02-28T05:13:34.896Z,2013-07-09T14:56:00.000Z,177.16286,-39.46703,2.937,5,ML,operator assigned,GROPE,reviewed,,nz1dr,42,33,22,0.204,137,0.37664,0.121
3268032,earthquake,2010-02-28T04:54:48.020Z,2013-07-09T14:56:00.000Z,172.81412,-41.99607,2.146,81.7502,ML,,GROPE,reviewed,,nz1dr,9,5,1,0.241,160,0.22791,
3268007,earthquake,2010-02-28T03:37:16.395Z,2013-07-09T14:56:00.000Z,179.15553,-37.6895,3.207,33,ML,operator assigned,GROPE,reviewed,,nz1dr,16,12,13,0.602,296,0.2954,0.243
3268006,earthquake,2010-02-28T03:35:11.189Z,2013-07-09T14:56:00.000Z,179.22552,-38.37317,3.015,33,ML,operator assigned,GROPE,reviewed,,nz1dr,20,14,8,0.808,274,0.27584,0.237
3267981,earthquake,2010-02-28T02:09:49.968Z,2013-07-09T14:56:00.000Z,176.48654,-40.51751,1.9,24.8816,ML,,GROPE,reviewed,,nz1dr,10,5,5,0.057,203,0.36411,0.159
3267978,earthquake,2010-02-28T02:00:43.453Z,2013-07-09T14:56:00.000Z,171.8741,-41.67659,2.641,5,ML,operator assigned,GROPE,reviewed,,nz1dr,8,4,7,0.087,173,0.15837,0.277
3267966,earthquake,2010-02-28T01:28:42.321Z,2013-07-09T14:55:00.000Z,179.28033,-38.34771,2.635,33,ML,operator assigned,GROPE,reviewed,,nz1dr,11,7,3,0.851,305,0.26812,0.213
3267959,earthquake,2010-02-28T01:04:30.720Z,2013-07-09T14:55:00.000Z,176.07358,-40.36633,2.34,50.5358,ML,,GROPE,reviewed,,nz1dr,12,8,7,0.097,110,0.2642,0.208
3267954,outside of network interest,2010-02-28T00:45:36.800Z,2013-07-09T14:55:00.000Z,-178.38609,-34.86428,,33,,operator assigned,GROPE,reviewed,,nz1dr,12,9,,3.921,350,0.18871,
3267945,earthquake,2010-02-28T00:22:56.249Z,2013-07-09T14:55:00.000Z,174.80875,-40.14834,2.551,33,ML,operator assigned,GROPE,reviewed,,nz1dr,37,31,28,0.414,67,0.36216,0.247
3267932,earthquake,2010-02-27T23:54:53.759Z,2013-07-09T14:55:00.000Z,178.59927,-37.66481,2.644,28.4648,ML,,GROPE,reviewed,,nz1dr,12,8,4,0.214,268,0.16312,0.269
3267888,earthquake,2010-02-27T21:34:54.093Z,2013-07-09T14:55:00.000Z,174.75941,-40.72919,2.793,5,ML,operator assigned,GROPE,reviewed,,nz1dr,25,22,22,0.175,120,0.2847,0.159
